,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,trending,updated_github_id,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,gitlab_id,gitlab_url
36,MuJoCo Wrap,google-deepmind/mujoco_warp,[],physics,https://github.com/google-deepmind/mujoco_warp,https://github.com/google-deepmind/mujoco_warp,Apache-2.0,2025-03-17 22:35:01,2026-06-03 13:43:40,2026-06-03 13:43:39,1942.0,155.0,163.0,35.0,1100.0,27.0,262.0,1263.0,2026-05-27 16:10:00,3.9.0.1,,,14.0,"GPU-optimized version of the MuJoCo physics simulator, designed for NVIDIA hardware.",,,43.0,23,True,2.0,,,,-1.0,,,,,,,,,,,
37,Basilisk,AVSLab/basilisk,,space,https://github.com/AVSLab/basilisk,https://github.com/AVSLab/basilisk,ISC,2022-12-13 01:59:21,2026-06-03 08:39:51,2026-05-30 00:16:25,13073.0,361.0,111.0,10.0,636.0,88.0,406.0,336.0,2026-05-08 00:24:30,2.10.2,,,15.0,Astrodynamics simulation framework.,,,120.0,23,True,1.0,,,,,,,,,,,,,,,
38,jaxsim,ami-iit/jaxsim,,ml,https://jaxsim.readthedocs.io,https://github.com/gbionics/jaxsim,BSD-3-Clause,2022-01-31 16:44:28,2026-06-03 12:41:23,2026-06-03 12:41:20,2350.0,47.0,22.0,17.0,438.0,7.0,72.0,197.0,2026-04-29 09:59:21,0.9.0,,3336.0,14.0,A differentiable physics engine and multibody dynamics library for control and robot learning.,4.0,4.0,16.0,23,True,2.0,jaxsim,https://pypi.org/project/jaxsim,2702.0,,gbionics/jaxsim,,conda-forge/jaxsim,https://anaconda.org/conda-forge/jaxsim,2026-04-29 13:23:30.608,17767.0,,,,,
39,ManiSkill,haosulab/ManiSkill,,ml,https://maniskill.ai/,https://github.com/haosulab/ManiSkill,Apache-2.0,2022-08-02 04:56:58,2026-05-20 21:10:32,2026-05-20 21:10:32,622.0,10.0,467.0,19.0,590.0,106.0,685.0,2947.0,2026-04-21 05:51:06,3.0.1,,,37.0,"SAPIEN Manipulation Skill Framework, an open source GPU parallelized robotics simulator and benchmark.",,,68.0,21,True,2.0,,,,,,,,,,,,,,,
40,IGibson,StanfordVL/iGibson,,ml,https://svl.stanford.edu/igibson/,https://github.com/StanfordVL/iGibson,MIT,2019-05-21 21:45:23,2024-06-26 19:22:02,2023-02-19 08:26:34,4079.0,,162.0,42.0,36.0,127.0,214.0,806.0,2023-02-19 08:29:49,2.2.2,335.0,4.0,16.0,A Simulation Environment to train Robots in Large Realistic Interactive Scenes.,14.0,14.0,34.0,21,True,2.0,,,,,,,,,,,,,,,
41,AWSim,tier4/AWSIM,,auto,https://github.com/autowarefoundation/AWSIM,https://github.com/autowarefoundation/AWSIM,apache-2,2022-10-14 00:48:24,2026-05-13 23:00:51,2026-05-13 23:00:15,1453.0,8.0,115.0,63.0,344.0,20.0,105.0,709.0,2025-10-31 07:06:14,2.0.1,81499.0,1852.0,12.0,Open sourced digital twin simulator for Autoware.,,,35.0,21,True,3.0,,,,,autowarefoundation/AWSIM,,,,,,,,,,
42,Colosseum,CodexLabsLLC/Colosseum,,aerial,https://codexlabsllc.github.io/Colosseum/,https://github.com/CodexLabsLLC/Colosseum,MIT,2022-07-23 10:32:41,2025-12-08 14:09:28,2025-12-08 14:09:27,3717.0,,183.0,24.0,47.0,62.0,26.0,654.0,2025-08-08 18:22:02,2.3.0,19641.0,456.0,6.0,Open source simulator for autonomous robotics built on Unreal Engine with support for Unity.,,,256.0,21,True,1.0,,,,,,,,,,,,,,,
43,SVL Simulator,lgsvl/simulator,,auto,https://github.com/lgsvl/simulator,https://github.com/lgsvl/simulator,,2018-07-02 22:07:26,2023-04-04 21:17:55,2022-01-19 23:09:19,2067.0,,769.0,84.0,41.0,614.0,1490.0,2450.0,2021-10-04 19:40:16,2021.3,98362.0,1092.0,32.0,A ROS/ROS2 Multi-robot Simulator for Autonomous Vehicles.,,,46.0,20,False,3.0,,,,,,,,,,,,,,,
44,Gazebo Classic,gazebosim/gazebo-classic,,robotics,https://classic.gazebosim.org/,https://github.com/gazebosim/gazebo-classic,Apache-2,2020-04-19 04:26:21,2024-12-03 13:17:30,2024-12-03 13:13:52,32589.0,,506.0,8.0,337.0,1466.0,1588.0,1341.0,,,,,,"Gazebo classic. For the latest version, see https://github.com/gazebosim/gz-sim.",,,202.0,20,False,2.0,,,,,,,,,,,,,,,
45,Sapien,haosulab/SAPIEN,,ml,https://sapien.ucsd.edu/,https://github.com/haosulab/SAPIEN,,2020-03-16 01:11:40,2026-06-01 08:09:31,2026-06-01 03:59:34,1704.0,2.0,77.0,16.0,34.0,76.0,150.0,770.0,2026-03-10 03:28:32,3.0.3,1136.0,45.0,3.0,SAPIEN Embodied AI Platform.,237.0,237.0,20.0,20,True,2.0,,,,,,,,,,,,,,,
