,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,updated_github_id,trending,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,gitlab_id,gitlab_url
112,Ocean Sim,umfieldrobotics/OceanSim,,maritime,https://github.com/umfieldrobotics/OceanSim,https://github.com/umfieldrobotics/OceanSim,BSD 3-Clause,2025-02-17 17:50:19,2025-09-26 05:56:03,2025-09-07 04:59:56,19.0,,63.0,13.0,6.0,7.0,24.0,470.0,2025-09-05 16:52:56,release/v4.5.0-ROS,,,2.0,[IROS 2025] OceanSim: A GPU-Accelerated Underwater Robot Perception Simulation Framework.,,,5.0,11,True,3.0,,,,,,,,,,,,,,,
113,UnrealZoo,UnrealZoo/unrealzoo-gym,,ml,https://unrealzoo.site/,https://github.com/UnrealZoo/unrealzoo-gym,,2024-12-17 17:52:32,2026-06-02 10:49:25,2026-06-02 10:48:40,937.0,21.0,26.0,7.0,21.0,,,335.0,,,,,,[ICCV 2025 Highlights] Large-scale photo-realistic virtual worlds for embodied AI.,,,6.0,11,True,3.0,,,,,,,,,,,,,,,
114,Graspit!,graspit-simulator/graspit,,domain,https://github.com/graspit-simulator/graspit,https://github.com/graspit-simulator/graspit,,2015-10-21 23:24:38,2021-04-19 20:49:02,2020-07-10 14:35:48,733.0,,82.0,13.0,111.0,33.0,43.0,216.0,2021-04-10 17:39:19,4.0,118.0,1.0,4.0,The GraspIt! simulator.,,,25.0,11,True,2.0,,,,,,,,,,,,,,,
115,ODE,thomasmarsh/ODE,[],physics,http://www.ode.org/,https://github.com/thomasmarsh/ODE,gnu-gpl and BSD-3-clause,2017-05-01 14:50:07,2024-01-17 15:31:06,2024-01-14 01:09:11,2099.0,,40.0,5.0,,2.0,1.0,203.0,,,,,,Open Dynamics Engine (ODE) github mirror from https://bitbucket.org/odedevs/ode.,,,34.0,11,True,3.0,,,,,,,,,,,,,,,
116,UWSim-NET,uji-ros-pkg/underwater_simulation,,maritime,https://github.com/uji-ros-pkg/underwater_simulation,https://github.com/uji-ros-pkg/underwater_simulation,,2013-04-08 16:49:12,2022-05-27 01:45:56,2020-03-15 12:35:06,445.0,,61.0,24.0,31.0,18.0,39.0,111.0,,,,,,"UWSim-NET, the Underwater Simulator.",,,25.0,11,False,3.0,,,,,,,,,,,,,,,
117,Moos-ivp,moos-ivp/moos-ivp,,maritime,https://github.com/moos-ivp/moos-ivp,https://github.com/moos-ivp/moos-ivp,GPLv3 LGPLv3 and Commercial,2024-08-05 04:59:29,2026-06-09 23:40:58,2026-06-09 23:40:57,5475.0,2.0,34.0,7.0,78.0,10.0,7.0,77.0,2025-11-16 00:02:37,24.8.1,,,1.0,"MOOS-IvP is a set of modules for providing autonomy on robotic platforms, in particular autonomous marine vehicles.",,,18.0,11,True,3.0,,,,,,,,,,,,,,,
118,Strech MuJoCo,hello-robot/stretch_mujoco,,domain,https://github.com/hello-robot/stretch_mujoco,https://github.com/hello-robot/stretch_mujoco,BSD-3-Clause-Clear,2024-06-04 19:59:33,2026-05-22 21:17:06,2026-01-05 21:53:17,148.0,,28.0,3.0,60.0,19.0,31.0,63.0,2025-06-10 16:17:07,0.5.0,,,1.0,"This library provides a simulation stack for Stretch, built on MuJoCo.",,,8.0,11,True,2.0,,,,,,,,,,,,,,,
119,gym-softrobot,skim0119/gym-softrobot/,,domain,https://github.com/skim0119/gym-softrobot,https://github.com/skim0119/gym-softrobot,MIT,2022-01-11 19:38:18,2025-07-24 20:31:30,2025-04-02 20:29:32,255.0,,9.0,1.0,14.0,3.0,4.0,44.0,2022-03-25 23:33:54,0.1.4,,120.0,8.0,Softrobotics environment package for OpenAI Gym.,2.0,2.0,,11,True,2.0,gym-softrobot,https://pypi.org/project/gym-softrobot,120.0,,,,,,,,,,,,
120,Isaac Drone Racer,kousheekc/isaac_drone_racer,,aerial,https://github.com/kousheekc/isaac_drone_racer,https://github.com/kousheekc/isaac_drone_racer,BSD-3-Clause,2025-05-26 09:11:53,2025-12-04 10:04:52,2025-12-04 10:04:42,51.0,,42.0,6.0,,,6.0,186.0,,,,,,"Isaac Drone Racer is a reinforcement learning framework for high speed autonomous drone racing, built on top of..",,,,10,True,3.0,,,,,,,,,,,,,,,
121,Gears,QuirkyCort/gears,,robotics,https://gears.aposteriori.com.sg/,https://github.com/QuirkyCort/gears,GPLv3,2020-06-13 16:53:26,2026-04-29 07:05:43,2026-04-29 07:05:28,933.0,4.0,53.0,15.0,44.0,14.0,75.0,89.0,,,,,,Generic Educational Robotics Simulator.,,,14.0,10,True,3.0,,,,,,,,,,,,,,,
122,LRAUV,osrf/lrauv,,maritime,https://github.com/osrf/lrauv,https://github.com/osrf/lrauv,Apache-2.0,2021-11-02 07:33:35,2025-03-18 04:22:21,2025-03-18 04:22:08,357.0,,18.0,4.0,176.0,16.0,94.0,79.0,,,,,,Packages for simulating the Tethys-class Long-Range AUV (LRAUV) from the Monterey Bay Aquarium Research Institute..,,,11.0,10,False,3.0,,,,,,,,,,,,,,,
123,FleX,NVIDIAGameWorks/FleX,,physics,https://github.com/NVIDIAGameWorks/FleX,https://github.com/NVIDIAGameWorks/FleX,Nvidia Software License,2017-01-24 21:51:38,2021-04-15 01:36:31,2021-04-15 01:36:31,15.0,,110.0,70.0,4.0,93.0,42.0,797.0,2017-04-10 02:40:45,1.1.0,,,1.0,,,,2.0,9,True,3.0,,,,,,,,,,,,,,,
124,Arnold,arnold-benchmark/arnold,,ml,https://arnold-benchmark.github.io/,https://github.com/arnold-benchmark/arnold,MIT,2023-04-10 03:41:38,2025-03-16 18:21:08,2024-04-01 12:58:11,19.0,,15.0,4.0,1.0,7.0,48.0,186.0,,,,,,[ICCV 2023] ARNOLD: Language-Grounded Robot Manipulation with Continuous Object States in Realistic 3D Scenes.,,,3.0,9,True,3.0,,,,,,,,,,,,,,,
125,FlightForge,ctu-mrs/mrs_uav_flightforge_simulator,,aerial,https://github.com/ctu-mrs/mrs_uav_flightforge_simulator,https://github.com/ctu-mrs/mrs_uav_flightforge_simulator,GLP-2.0,2024-02-01 10:18:11,2026-06-21 14:29:08,2026-06-19 19:17:17,254.0,4.0,8.0,8.0,22.0,1.0,3.0,50.0,2025-03-19 12:13:14,V0.11,,,1.0,ROS counterpart for the FlightForge UAV simulator.,,,10.0,9,True,3.0,,,,,,,,,,,,,,,
126,IsaacLab-HARL,some45bucks/IsaacLab-HARL,,ml,https://some45bucks.github.io/IsaacLab-HARL/,https://github.com/some45bucks/IsaacLab-HARL,BSD-3-Clause,2025-08-10 01:36:01,2025-08-10 01:39:26,2025-08-07 23:28:31,1170.0,,2.0,,,,,7.0,,,,,,Unified framework for robot learning built on NVIDIA Isaac Sim.,,,120.0,9,True,3.0,,,,,,,,,,,,,,,
127,UAIbot,UAIbot/UAIbotPy,,ml,https://uaibot.github.io/,https://github.com/UAIbot/UAIbotPy,MIT,2022-08-08 18:34:23,2026-06-26 23:07:56,2025-07-08 23:30:52,160.0,,6.0,,3.0,1.0,,6.0,2025-07-08 23:46:29,1.2.7,3.0,0.0,1.0,The Python version of the UAIbot simulator.,,,3.0,9,True,3.0,,,,,,,,,,,,,,,
128,Fly Craft,GongXudong/fly-craft,,aerial,https://github.com/GongXudong/fly-craft,https://github.com/GongXudong/fly-craft,,2024-03-09 07:37:07,2025-11-25 12:51:34,2025-11-25 12:51:19,44.0,,5.0,3.0,,,4.0,110.0,,,,85.0,,An efficient goal-conditioned reinforcement learning environment for fixed-wing UAV velocity vector control based on..,4.0,4.0,,8,True,3.0,flycraft,https://pypi.org/project/flycraft,85.0,,,,,,,,,,,,
129,Rbot,rlxai/rbot,,robotics,https://github.com/rlxai/rbot,https://github.com/rlxai/rbot,Apache-2,2026-05-09 17:10:51,2026-05-23 04:03:56,2026-05-20 14:58:50,10.0,10.0,15.0,4.0,,,,96.0,,,,,,An open-source end-to-end Autonomous Mobile Robot simulation stack for ROS 2 Jazzy and Gazebo Harmonic.,,,,8,True,3.0,,,,,,,,,,,,,,,
130,multipanda_ros2,tenfoldpaper/multipanda_ros2,,domain,https://github.com/tenfoldpaper/multipanda_ros2,https://github.com/tenfoldpaper/multipanda_ros2,Apache-2,2024-04-05 07:21:09,2026-02-05 15:11:37,2026-02-05 15:11:33,431.0,,31.0,2.0,3.0,2.0,5.0,86.0,,,,,,,,,14.0,8,True,3.0,,,,,,,,,,,,,,,
