,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,doc_url,updated_github_id,trending,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,gitlab_id,gitlab_url
0,Godot,godotengine/godot,[],game,https://godotengine.org/,https://github.com/godotengine/godot,MIT,2014-01-04 16:05:36,2026-07-01 12:31:16,2026-06-30 19:49:58,84605.0,1800.0,25279.0,1517.0,56840.0,13320.0,49423.0,113422.0,2026-06-18 12:06:17,4.7-stable,15450729.0,111156.0,70.0,Godot Engine Multi-platform 2D and 3D game engine.,24.0,24.0,3845.0,44,True,1.0,,,,,,,,,,,,,,,
1,Gymnasium,Farama-Foundation/Gymnasium,,ml,https://gymnasium.farama.org/,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05,2026-06-30 12:33:03,2026-06-28 09:41:56,2594.0,33.0,1368.0,65.0,1008.0,68.0,513.0,12108.0,2026-04-22 13:46:23,1.3.0,,10793003.0,20.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",22795.0,22795.0,585.0,40,True,1.0,gymnasium,https://pypi.org/project/gymnasium,10793003.0,,,,,,,,,,,,
2,Bevy,bevyengine/bevy,,game,https://bevy.org/,https://github.com/bevyengine/bevy,Apache-2.0,2020-01-18 21:13:55,2026-07-01 01:00:06,2026-07-01 00:26:29,11690.0,603.0,4614.0,314.0,14336.0,2773.0,5679.0,46953.0,2026-06-18 01:25:13,0.19.0,,,57.0,A refreshingly simple data-driven game engine built in Rust.,25961.0,25961.0,1604.0,39,True,2.0,,,,,,,,,,,,,,,
3,mujoco,google-deepmind/mujoco,[],robotics,https://mujoco.org/,https://github.com/google-deepmind/mujoco,Apache-2.0,2021-08-27 12:25:48,2026-07-01 10:51:29,2026-07-01 10:50:55,5016.0,580.0,1594.0,131.0,620.0,158.0,1706.0,14051.0,2026-06-22 17:04:32,3.10.0,1106223.0,19407.0,50.0,Multi-Joint dynamics with Contact. A general purpose physics simulator.,5534.0,5534.0,119.0,38,True,1.0,,,,,,,,,,,,,,,
4,Carla,carla-simulator/carla,[],auto,https://carla.org/,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23,2026-06-30 04:56:43,2026-06-29 14:47:59,6746.0,54.0,4465.0,263.0,2284.0,1143.0,5185.0,14120.0,2025-09-16 09:32:23,0.9.16,,,28.0,Open-source simulator for autonomous driving research.,1123.0,1123.0,202.0,33,True,1.0,,,,,,,,,,,,,,,
5,Pinocchio,stack-of-tasks/pinocchio,,physics,http://stack-of-tasks.github.io/pinocchio/,https://github.com/stack-of-tasks/pinocchio,BSD-2-Clause,2014-10-07 15:42:51,2026-07-01 06:28:30,2026-06-30 23:15:10,13138.0,192.0,514.0,68.0,1455.0,94.0,1101.0,3531.0,2026-04-13 12:17:49,4.0.0,113066.0,1484361.0,90.0,A fast and flexible implementation of Rigid Body Dynamics algorithms and their analytical derivatives.,,,119.0,33,True,1.0,pin,https://pypi.org/project/pin,1483524.0,,,,,,,,,,,,
6,airsim,microsoft/AirSim,,aerial,https://github.com/microsoft/AirSim,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2026-06-30 19:34:07,2026-06-28 02:38:17,3563.0,1.0,4540.0,572.0,915.0,681.0,2729.0,18278.0,2022-07-18 20:11:48,1.8.1,700134.0,6605.0,30.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",447.0,447.0,247.0,32,False,1.0,,,,https://microsoft.github.io/AirSim/,,,,,,,,,,,
7,Drake,RobotLocomotion/drake,[],physics,https://drake.mit.edu/,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2026-07-01 12:04:53,2026-06-30 18:12:52,34924.0,298.0,1299.0,168.0,17885.0,665.0,6122.0,4089.0,2026-06-12 17:35:24,1.54.0,109895.0,845.0,91.0,Model-based design and verification for robotics.,,,278.0,32,True,1.0,,,,,,,,,,,,,,,
8,Genesis,Genesis-Embodied-AI/Genesis,,ml,https://github.com/Genesis-Embodied-AI/genesis-world,https://github.com/Genesis-Embodied-AI/genesis-world,Apache-2.0,2023-10-31 03:33:11,2026-06-30 20:59:28,2026-06-30 20:59:28,1506.0,196.0,2768.0,226.0,1638.0,111.0,929.0,29469.0,2026-06-23 09:54:21,1.2.0,,,28.0,Simulation platform for general-purpose robotics & embodied AI learning.,121.0,121.0,92.0,31,True,1.0,,,,,Genesis-Embodied-AI/genesis-world,,,,,,,,,,
9,O3DE,o3de/o3de,[],game,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2026-07-01 04:13:52,2026-07-01 04:13:49,26917.0,129.0,2482.0,151.0,11329.0,3427.0,4605.0,9468.0,2026-05-27 17:01:43,2605.0,12035.0,200.0,20.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,334.0,30,True,2.0,,,,,,,,,,,,,,,
10,O3DE for Robotics,o3de/o3de,[],robotics,https://o3de.org/,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2026-07-01 04:13:52,2026-07-01 04:13:49,26917.0,129.0,2482.0,151.0,11329.0,3427.0,4605.0,9468.0,2026-05-27 17:01:43,2605.0,12035.0,200.0,20.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,334.0,30,True,1.0,,,,,,,,,,,,,,,
11,Atom,o3de/o3de,[],render,https://docs.o3de.org/docs/atom-guide/,https://github.com/o3de/o3de,Apache-2.0 and MIT,2021-04-05 06:38:18,2026-07-01 04:13:52,2026-07-01 04:13:49,26917.0,129.0,2482.0,151.0,11329.0,3427.0,4605.0,9468.0,2026-05-27 17:01:43,2605.0,12035.0,200.0,20.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,334.0,30,True,1.0,,,,,,,,,,,,,,,
12,HighwayEnv,Farama-Foundation/HighwayEnv,,others,https://highway-env.farama.org/,https://github.com/Farama-Foundation/HighwayEnv,MIT,2017-11-15 15:38:46,2026-06-29 23:25:06,2026-06-29 22:26:23,1452.0,33.0,842.0,27.0,143.0,38.0,453.0,3283.0,2026-05-10 20:13:18,1.11,,11824.0,18.0,A collection of environments for autonomous driving and tactical decision-making tasks.,305.0,305.0,56.0,30,True,1.0,highway-env,https://pypi.org/project/highway-env,11824.0,,,,,,,,,,,,
13,Metaworld,Farama-Foundation/Metaworld,,ml,https://metaworld.farama.org/,https://github.com/Farama-Foundation/Metaworld,MIT,2019-09-09 19:00:02,2026-06-28 17:11:17,2026-06-28 16:57:44,979.0,17.0,317.0,27.0,329.0,4.0,243.0,1840.0,2026-06-28 17:10:22,3.1.1,,21772.0,3.0,Collections of robotics environments geared towards benchmarking multi-task and meta reinforcement learning.,104.0,104.0,45.0,29,True,1.0,metaworld,https://pypi.org/project/metaworld,21772.0,,,1.0,,,,,,,,,
14,Gym,openai/gym,[],ml,https://www.gymlibrary.dev/,https://github.com/openai/gym,MIT,2016-04-27 14:59:16,2026-03-26 23:13:27,2026-03-26 23:13:24,1758.0,,8201.0,1039.0,1468.0,113.0,1726.0,37246.0,2022-10-04 16:39:12,0.26.2,,,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,24.0,24.0,385.0,28,False,1.0,,,,,,1.0,,,,,,,,,
15,Webots,cyberbotics/webots,,robotics,https://www.cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2026-06-30 23:36:18,2026-06-29 06:40:48,15761.0,19.0,1948.0,77.0,4709.0,235.0,1677.0,4438.0,2025-02-04 12:36:33,R2025a,1887897.0,20746.0,17.0,Webots Robot Simulator.,,,144.0,28,True,1.0,,,,,,,,,,,,,,,
16,Wren (Webots),cyberbotics/webots,[],render,https://cyberbotics.com/,https://github.com/cyberbotics/webots,Apache-2.0,2018-11-05 14:09:10,2026-06-30 23:36:18,2026-06-29 06:40:48,15761.0,19.0,1948.0,77.0,4709.0,235.0,1677.0,4438.0,2025-02-04 12:36:33,R2025a,1887899.0,20746.0,17.0,Webots Robot Simulator.,,,144.0,28,True,2.0,,,,,,,,,,,,,,,
17,Project CHRONO,projectchrono/chrono,,physics,https://projectchrono.org,https://github.com/projectchrono/chrono,BSD 3-Clause,2013-09-03 15:34:23,2026-06-30 19:44:21,2026-06-30 19:19:13,19585.0,209.0,584.0,111.0,364.0,11.0,368.0,2908.0,2026-04-07 12:38:32,10.0.0,9309.0,147.0,7.0,High-performance C++ library for multiphysics and multibody dynamics simulations.,,,150.0,28,True,1.0,,,,,,-1.0,,,,,,,,,
18,mjlab,mujocolab/mjlab,,ml,https://github.com/mujocolab/mjlab,https://github.com/mujocolab/mjlab,Apache-2,2025-06-10 02:34:09,2026-07-01 10:09:05,2026-06-30 15:59:07,1054.0,114.0,402.0,25.0,699.0,26.0,268.0,2620.0,2026-06-28 23:09:19,1.5.0,,251355.0,8.0,"Isaac Lab API, powered by MuJoCo-Warp, for RL and robotics research.",,,50.0,28,True,1.0,mjlab,https://pypi.org/project/mjlab,251355.0,https://github.com/mujocolab/mjlab/blob/main/README.md,,,,,,,,,,,
19,Bullet Physics SDK,bulletphysics/bullet3,[],physics,http://bulletphysics.org/,https://github.com/bulletphysics/bullet3,zlib,2011-04-12 18:45:08,2025-10-22 02:13:14,2025-10-22 02:13:14,9405.0,,2986.0,403.0,1947.0,263.0,1794.0,14578.0,2022-04-24 23:54:27,3.25,5594.0,44.0,11.0,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects,..",24.0,24.0,311.0,27,True,2.0,,,,,,,,,,,,,,,
20,OGRE,OGRECave/ogre,[],render,https://www.ogre3d.org/,https://github.com/OGRECave/ogre,MIT,2015-11-29 15:57:03,2026-06-29 23:23:41,2026-06-29 23:23:41,13339.0,77.0,1013.0,151.0,2675.0,147.0,811.0,4608.0,2026-01-31 18:14:28,14.5.2,3745.0,32.0,86.0,"high-performance rendering backend (C++, Python, C#, Java).",,,342.0,27,True,2.0,,,,,,-1.0,,,,,,,,,
21,NVIDIA Isaac Sim Isaac Lab,isaac-sim/IsaacLab,[],ml,https://isaac-sim.github.io/IsaacLab,https://github.com/isaac-sim/IsaacLab,BSD-3-Clause,2022-11-16 23:55:13,2026-07-01 11:25:38,2026-06-12 10:12:35,1577.0,18.0,3593.0,62.0,2869.0,395.0,2094.0,7573.0,2026-06-17 02:16:55,3.0.0-beta2,,,22.0,Unified framework for robot learning built on NVIDIA Isaac Sim.,,,204.0,26,True,2.0,,,,,,,,,,,,,,,
22,Avian 3D,Jondolf/avian,,physics,https://crates.io/crates/avian3d,https://github.com/avianphysics/avian,Apache-2.0,2022-05-29 11:28:38,2026-06-21 22:00:19,2026-06-21 22:00:19,1154.0,14.0,258.0,14.0,579.0,163.0,231.0,3030.0,2026-06-20 21:00:56,0.7.0,,,19.0,ECS-driven 2D and 3D physics engine for the Bevy game engine.,382.0,382.0,87.0,26,True,2.0,,,,,avianphysics/avian,,,,,,,,,,
23,PyRender,mmatl/pyrender,,render,http://pyrender.readthedocs.io/,https://github.com/mmatl/pyrender,MIT,2019-01-20 00:11:18,2025-02-07 06:54:10,2022-04-30 19:40:43,255.0,,249.0,19.0,67.0,167.0,75.0,1467.0,,,,502865.0,,Easy-to-use glTF 2.0-compliant OpenGL renderer for visualization of 3D scenes.,3191.0,3191.0,23.0,26,True,3.0,pyrender,https://pypi.org/project/pyrender,502865.0,,,,,,,,,,,,
24,DART,dartsim/dart,[],physics,http://dartsim.github.io/,https://github.com/dartsim/dart,BSD-2-Clause,2011-09-19 21:53:51,2026-07-01 08:48:51,2026-06-30 20:48:20,7362.0,667.0,293.0,50.0,2450.0,1.0,697.0,1159.0,2026-06-27 20:48:05,6.19.3,,,77.0,"Research-focused C++23 physics engine for robotics, animation, and machine learning, with Python bindings.",9.0,9.0,78.0,26,True,2.0,,,,,,,,,,,,,,,
25,Newton (Physics),newton-physics/newton,,robotics,https://newton-physics.github.io/newton/,https://github.com/newton-physics/newton,Apache-2.0,2025-04-22 04:12:07,2026-07-01 12:20:59,2026-07-01 11:29:39,2103.0,444.0,576.0,39.0,1879.0,221.0,1090.0,5146.0,2026-06-11 18:22:04,1.3.0,61.0,20.0,5.0,"An open-source, GPU-accelerated physics simulation engine built upon NVIDIA Warp, specifically targeting roboticists..",,,80.0,25,True,2.0,,,,,,-1.0,,,,,,,,,
26,BRAX,google/brax,,physics,https://github.com/google/brax,https://github.com/google/brax,Apache-2,2021-06-02 21:45:19,2026-06-29 18:44:58,2026-06-29 18:44:30,413.0,4.0,338.0,32.0,122.0,93.0,321.0,3199.0,2026-03-15 22:31:45,0.14.2,,,37.0,Massively parallel rigidbody physics simulation on accelerator hardware.,589.0,589.0,54.0,25,True,2.0,,,,,,,,,,,,,,,
27,JSBSim,JSBSim-Team/jsbsim,[],physics,https://github.com/JSBSim-Team/jsbsim,https://github.com/JSBSim-Team/jsbsim,LGPL-2.1,2017-12-17 20:18:32,2026-06-30 09:58:31,2026-06-30 09:58:31,6065.0,48.0,567.0,59.0,513.0,42.0,333.0,2127.0,2026-05-17 14:43:43,1.3.1,38197.0,509.0,23.0,An open source flight dynamics & control software library.,,,77.0,25,True,2.0,,,,,,,,,,,,,,,
28,Gymnasium Robotics,Farama-Foundation/Gymnasium-Robotics,,ml,https://robotics.farama.org/,https://github.com/Farama-Foundation/Gymnasium-Robotics,MIT,2021-10-25 18:10:57,2026-06-24 15:47:46,2026-06-24 14:38:16,480.0,18.0,133.0,15.0,230.0,9.0,78.0,932.0,2026-01-02 21:49:36,1.4.2,,32659.0,15.0,A collection of robotics simulation environments for reinforcement learning.,344.0,344.0,39.0,25,True,2.0,gymnasium-robotics,https://pypi.org/project/gymnasium-robotics,32659.0,,,,,,,,,,,,
29,ESMINI,esmini/esmini,,auto,https://github.com/esmini/esmini,https://github.com/esmini/esmini,MPL-2,2019-05-03 07:49:16,2026-06-30 08:52:28,2026-06-24 15:59:02,3891.0,101.0,255.0,28.0,191.0,199.0,430.0,923.0,2026-06-24 16:29:49,3.4.0,32577.0,407.0,87.0,a basic OpenSCENARIO player.,,,92.0,25,True,2.0,,,,,,,,,,,,,,,
30,Habitat Sim,facebookresearch/habitat-sim,,ml,https://aihabitat.org/,https://github.com/facebookresearch/habitat-sim,MIT,2019-02-04 23:14:28,2026-05-07 22:21:06,2026-05-07 22:21:03,1664.0,2.0,525.0,80.0,1771.0,208.0,639.0,3728.0,2026-02-12 23:56:33,0.3.3,,,27.0,"A flexible, high-performance 3D simulator for Embodied AI research.",75.0,75.0,63.0,24,True,2.0,,,,,,,,,,,,,,,
31,AI2-thor,allenai/ai2thor,,ml,https://ai2thor.allenai.org/,https://github.com/allenai/ai2thor,Apache-2.0,2017-10-17 18:00:39,2025-11-04 06:09:29,2025-05-29 18:14:02,7768.0,,287.0,64.0,598.0,275.0,375.0,1753.0,2022-12-13 23:25:15,5.0.0,,,48.0,An open-source platform for Visual AI.,399.0,399.0,53.0,24,True,2.0,,,,,,,,,,,,,,,
32,IR-SIM,hanruihua/ir-sim,,flatsim,https://ir-sim.readthedocs.io/en,https://github.com/hanruihua/ir-sim,MIT,2022-05-30 03:51:40,2026-07-01 11:57:17,2026-07-01 11:57:00,1611.0,72.0,141.0,11.0,278.0,2.0,48.0,1098.0,2026-07-01 10:26:20,2.10.1,,1058.0,54.0,"A Python-based lightweight robot simulator designed for navigation, control, and learning.",16.0,16.0,15.0,24,True,1.0,ir-sim,https://pypi.org/project/ir-sim,1058.0,,,,,,,,,,,,
33,Vulkan,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2026-07-01 11:23:34,2026-07-01 11:23:34,2494.0,50.0,356.0,111.0,1875.0,22.0,706.0,3738.0,2026-06-30 09:59:23,.1.4.355,,,100.0,Open-Source Vulkan C++ API.,,,105.0,23,True,3.0,,,,,,,,,,,,,,,
34,OpenGL,KhronosGroup/Vulkan-Hpp,[],render,https://www.khronos.org/,https://github.com/KhronosGroup/Vulkan-Hpp,Apache-2.0,2016-06-16 12:51:55,2026-07-01 11:23:34,2026-07-01 11:23:34,2494.0,50.0,356.0,111.0,1875.0,22.0,706.0,3738.0,2026-06-30 09:59:23,.1.4.355,,,100.0,Open-Source Vulkan C++ API.,,,105.0,23,True,3.0,,,,,,,,,,,,,,,
35,Gazebo,gazebosim/gz-sim,,robotics,https://gazebosim.org/home,https://github.com/gazebosim/gz-sim,Apache-2.0,2020-04-15 09:17:50,2026-07-01 10:00:15,2026-06-29 22:06:51,7550.0,67.0,416.0,21.0,2639.0,483.0,630.0,1398.0,2025-10-14 04:14:45,gz-sim10_10.0.0,,,7.0,Open source robotics simulator. The latest version of Gazebo.,,,183.0,23,True,2.0,,,,https://gazebosim.org/api/sim/9/,,,,,,,,,,,
36,MuJoCo Wrap,google-deepmind/mujoco_warp,[],physics,https://github.com/google-deepmind/mujoco_warp,https://github.com/google-deepmind/mujoco_warp,Apache-2.0,2025-03-17 22:35:01,2026-07-01 11:43:38,2026-07-01 11:43:38,1996.0,154.0,172.0,36.0,1165.0,18.0,277.0,1331.0,2026-06-26 15:59:28,3.10.0.1,,,16.0,"GPU-optimized version of the MuJoCo physics simulator, designed for NVIDIA hardware.",,,44.0,23,True,2.0,,,,,,,,,,,,,,,
37,Basilisk,AVSLab/basilisk,,space,https://github.com/AVSLab/basilisk,https://github.com/AVSLab/basilisk,ISC,2022-12-13 01:59:21,2026-07-01 08:32:44,2026-06-30 22:10:48,13176.0,363.0,115.0,10.0,666.0,75.0,425.0,347.0,2026-05-08 00:24:30,2.10.2,,,15.0,Astrodynamics simulation framework.,,,121.0,23,True,1.0,,,,,,,,,,,,,,,
38,jaxsim,ami-iit/jaxsim,,ml,https://jaxsim.readthedocs.io,https://github.com/gbionics/jaxsim,BSD-3-Clause,2022-01-31 16:44:28,2026-06-25 12:45:25,2026-06-25 12:45:15,2354.0,47.0,23.0,17.0,438.0,7.0,72.0,197.0,2026-04-29 09:59:21,0.9.0,,2958.0,14.0,A differentiable physics engine and multibody dynamics library for control and robot learning.,4.0,4.0,16.0,23,True,2.0,jaxsim,https://pypi.org/project/jaxsim,2316.0,,gbionics/jaxsim,,conda-forge/jaxsim,https://anaconda.org/conda-forge/jaxsim,2026-04-29 13:23:30.608,18624.0,,,,,
39,ManiSkill,haosulab/ManiSkill,,ml,https://maniskill.ai/,https://github.com/mani-skill/ManiSkill,Apache-2.0,2022-08-02 04:56:58,2026-06-24 05:07:23,2026-06-23 04:41:25,629.0,15.0,481.0,19.0,600.0,117.0,699.0,3058.0,2026-04-21 05:51:06,3.0.1,,,37.0,"SAPIEN Manipulation Skill Framework, an open source GPU parallelized robotics simulator and benchmark.",,,69.0,21,True,2.0,,,,,mani-skill/ManiSkill,,,,,,,,,,
40,IGibson,StanfordVL/iGibson,,ml,https://svl.stanford.edu/igibson/,https://github.com/StanfordVL/iGibson,MIT,2019-05-21 21:45:23,2024-06-26 19:22:02,2023-02-19 08:26:34,4079.0,,162.0,42.0,36.0,127.0,214.0,807.0,2023-02-19 08:29:49,2.2.2,349.0,4.0,16.0,A Simulation Environment to train Robots in Large Realistic Interactive Scenes.,14.0,14.0,34.0,21,True,2.0,,,,,,,,,,,,,,,
41,AWSim,tier4/AWSIM,,auto,https://github.com/autowarefoundation/AWSIM,https://github.com/autowarefoundation/AWSIM,apache-2,2022-10-14 00:48:24,2026-05-13 23:00:51,2026-05-13 23:00:15,1453.0,7.0,117.0,64.0,344.0,20.0,105.0,720.0,2025-10-31 07:06:14,2.0.1,83595.0,1857.0,12.0,Open sourced digital twin simulator for Autoware.,,,35.0,21,True,3.0,,,,,autowarefoundation/AWSIM,,,,,,,,,,
42,Colosseum,CodexLabsLLC/Colosseum,,aerial,https://codexlabsllc.github.io/Colosseum/,https://github.com/CodexLabsLLC/Colosseum,MIT,2022-07-23 10:32:41,2025-12-08 14:09:28,2025-12-08 14:09:27,3717.0,,182.0,25.0,48.0,62.0,26.0,664.0,2025-08-08 18:22:02,2.3.0,19808.0,450.0,6.0,Open source simulator for autonomous robotics built on Unreal Engine with support for Unity.,,,259.0,21,True,1.0,,,,,,,,,,,,,,,
43,SVL Simulator,lgsvl/simulator,,auto,https://github.com/lgsvl/simulator,https://github.com/lgsvl/simulator,,2018-07-02 22:07:26,2023-04-04 21:17:55,2022-01-19 23:09:19,2067.0,,770.0,84.0,41.0,614.0,1490.0,2453.0,2021-10-04 19:40:16,2021.3,98452.0,1081.0,32.0,A ROS/ROS2 Multi-robot Simulator for Autonomous Vehicles.,,,46.0,20,False,3.0,,,,,,,,,,,,,,,
44,RoboVerse,RoboVerseOrg/RoboVerse,,ml,https://roboverseorg.github.io/,https://github.com/RoboVerseOrg/RoboVerse,Apache-2.0,2025-04-04 03:00:06,2026-06-29 17:05:01,2026-06-29 06:56:58,1320.0,281.0,155.0,16.0,599.0,56.0,123.0,1757.0,,,5.0,0.0,2.0,"RoboVerse: Towards a Unified Platform, Dataset and Benchmark for Scalable and Generalizable Robot Learning.",,,47.0,20,True,2.0,,,,,,,,,,,,,,,
45,Gazebo Classic,gazebosim/gazebo-classic,,robotics,https://classic.gazebosim.org/,https://github.com/gazebosim/gazebo-classic,Apache-2,2020-04-19 04:26:21,2024-12-03 13:17:30,2024-12-03 13:13:52,32589.0,,504.0,8.0,337.0,1466.0,1588.0,1346.0,,,,,,"Gazebo classic. For the latest version, see https://github.com/gazebosim/gz-sim.",,,202.0,20,False,2.0,,,,,,,,,,,,,,,
46,Sapien,haosulab/SAPIEN,,ml,https://sapien.ucsd.edu/,https://github.com/haosulab/SAPIEN,,2020-03-16 01:11:40,2026-06-01 08:09:31,2026-06-01 03:59:34,1704.0,1.0,77.0,15.0,37.0,80.0,150.0,789.0,2026-03-10 03:28:32,3.0.3,1345.0,51.0,3.0,SAPIEN Embodied AI Platform.,240.0,240.0,20.0,20,True,2.0,,,,,,,,,,,,,,,
47,Simbody,simbody/simbody,[],physics,https://simtk.org/home/simbody,https://github.com/simbody/simbody,Apache-2.0,2013-08-16 00:21:53,2026-06-01 21:39:27,2026-06-01 21:39:26,5042.0,1.0,481.0,141.0,508.0,139.0,204.0,2527.0,2025-05-17 23:22:29,Simbody-3.8,,,11.0,High-performance C++ multibody dynamics/physics library for simulating articulated biomechanical and mechanical..,,,62.0,19,True,3.0,,,,,,,,,,,,,,,
48,Astrobee,NASA/astrobee,,space,https://github.com/nasa/astrobee,https://github.com/nasa/astrobee,Apache-2.0,2017-08-29 23:16:13,2025-12-02 17:42:45,2025-12-02 17:42:45,553.0,,359.0,63.0,623.0,17.0,194.0,1362.0,2024-07-19 22:29:17,0.19.1,,,23.0,NASA Astrobee Robot Software.,,,22.0,19,True,2.0,,,,,,,,,,,,,,,
49,MetaDrive,metadriverse/metadrive/,,ml,https://metadriverse.github.io/metadrive-simulator/,https://github.com/metadriverse/metadrive,Apache-2.0,2021-08-28 08:42:42,2025-08-15 18:57:56,2025-05-12 06:21:55,822.0,,180.0,18.0,444.0,99.0,314.0,1211.0,2024-12-06 17:31:09,MetaDrive-0.4.3,93142.0,1605.0,12.0,MetaDrive: Lightweight driving simulator for everyone.,,,,19,True,3.0,,,,,,,,,,,,,,,
50,Virtual RobotX,osrf/vrx,,maritime,https://github.com/osrf/vrx,https://github.com/osrf/vrx,Apache-2.0,2020-05-04 20:29:12,2026-06-30 22:12:51,2026-01-26 17:02:00,2465.0,,269.0,14.0,309.0,36.0,537.0,708.0,2025-11-26 14:36:35,3.1.0,,,19.0,Virtual RobotX (VRX) resources.,,,38.0,19,True,1.0,,,,,,,,,,,,,,,
51,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,,aerial,https://cosys-lab.github.io/Cosys-AirSim/,https://github.com/Cosys-Lab/Cosys-AirSim,mit,2022-08-22 09:24:58,2026-05-19 15:05:00,2026-01-14 13:58:11,5162.0,,125.0,11.0,36.0,49.0,41.0,383.0,2025-04-16 10:16:26,5.5-v3.3,13742.0,508.0,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",,,265.0,19,True,1.0,,,,,,,,,,,,,,,
52,pyrobosim,sea-bass/pyrobosim,[],flatsim,https://pyrobosim.readthedocs.io/,https://github.com/sea-bass/pyrobosim,MIT,2022-01-17 13:04:18,2026-06-28 15:41:32,2026-06-28 05:17:30,558.0,8.0,70.0,15.0,313.0,6.0,121.0,380.0,2026-02-28 16:16:06,4.3.4,,594.0,17.0,2D mobile robot simulator for behavior prototyping with optional ROS 2 interface.,8.0,8.0,20.0,19,True,2.0,pyrobosim,https://pypi.org/project/pyrobosim,594.0,,,,,,,,,,,,
53,PhysX 5,NVIDIA-Omniverse/PhysX,[],physics,https://nvidia-omniverse.github.io/PhysX/,https://github.com/NVIDIA-Omniverse/PhysX,BSD-3-Clause,2022-10-04 09:07:32,2026-06-24 16:14:51,2026-06-24 16:14:41,44.0,5.0,574.0,62.0,54.0,64.0,133.0,4629.0,2026-06-02 16:08:13,ovphysx-0.4.13,1742.0,39.0,25.0,NVIDIA PhysX SDK.,,,11.0,18,True,3.0,,,,,,,,,,,,,,,
54,Gym Pybullet Drones,utiasDSL/gym-pybullet-drones,[],aerial,https://utiasdsl.github.io/gym-pybullet-drones/,https://github.com/learnsyslab/gym-pybullet-drones,MIT,2020-08-10 07:38:09,2026-06-27 20:38:06,2026-05-31 13:41:05,848.0,7.0,516.0,16.0,72.0,110.0,114.0,2070.0,2021-03-09 21:11:22,1.0.0,,,5.0,PyBullet Gymnasium environments for single and multi-agent reinforcement learning of quadcopter control.,,,23.0,18,True,2.0,,,,,learnsyslab/gym-pybullet-drones,,,,,,,,,,
55,MuJoCo playground,google-deepmind/mujoco_playground/,,ml,https://playground.mujoco.org/,https://github.com/google-deepmind/mujoco_playground,Apache-2.0,2024-12-03 22:39:09,2026-06-25 14:27:49,2026-06-25 14:24:31,211.0,3.0,311.0,20.0,111.0,65.0,108.0,2033.0,2026-03-16 18:52:37,0.2.0,,,6.0,An open-source library for GPU-accelerated robot learning and sim-to-real transfer.,,,,18,True,3.0,,,,,,,,,,,,,,,
56,AutonomousVehicleControlBeginnersGuide,ShisatoYano/AutonomousVehicleControlBeginnersGuide,,flatsim,https://github.com/ShisatoYano/AutonomousVehicleControlBeginnersGuide,https://github.com/ShisatoYano/AutonomousVehicleControlBeginnersGuide,MIT,2022-07-01 14:00:16,2026-06-27 03:10:53,2026-06-27 03:10:53,1633.0,49.0,237.0,31.0,40.0,6.0,20.0,1623.0,,,,,,Python sample codes and documents about Autonomous vehicle control algorithm. This project can be used as a technical..,,,17.0,18,True,2.0,,,,,,1.0,,,,,,,,,
57,RotorS,ethz-asl/rotors_simulator,[],aerial,https://github.com/ethz-asl/rotors_simulator,https://github.com/ethz-asl/rotors_simulator,mit,2014-03-18 15:02:10,2024-07-15 13:12:46,2021-07-06 12:37:20,1780.0,,683.0,94.0,339.0,161.0,220.0,1486.0,,,,,,RotorS is a UAV gazebo simulator.,,,49.0,18,True,2.0,,,,,,,,,,,,,,,
